EXTERNALIDENTIFIER,LONGDESCRIPTION,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
575083234,Fisher Price Linkimals Happy Shapes Interactive Hedgehog,6,2,12,12,2,2,0.35,0.7,PICK_MODULE,66.82,8.4,36,18,4,9,MATRIX,Y
571887799,LEGO 4+ Toy Story 4 Duke Caboom s Stunt Show10767,8,2.3,10,10,2.3,3,0.7,2.1,PICK_MODULE,71.26,8.4,29,14,3,7,MATRIX,Y
567283609,Depend FIT FLEX Incontinence Underwear for Men  Maximum Absorbency  L  Grey  42 Count,12.5,9.5,13,13,9.5,1,5.82,5.82,PICK_MODULE,28.98,8.381818182,3,2,0,1,MATRIX,Y
565715489,Pacific Foods Organic Oat Milk Non Dairy Vanilla Beverage  32 oz,3.75,8.25,2.25,8.25,2.25,12,1.04,12.5,PICK_MODULE,32.22,8.381818182,75,38,9,19,MATRIX,Y
575487839,Enfamil Neuropro Baby Formula  Brain Building Nutrition   Powder Value Can 28.3 oz (2 Pack),10.25,7,5.25,10.25,5.25,2,4.11,8.23,PICK_MODULE,66.54,8.363636364,14,7,2,3,MATRIX,Y
558275913,Tazo Awake English Breakfast Black Tea  Tea Bags  48 Ct,6,5.5,3.25,6,3.25,4,0.5,2,PICK_MODULE,27.2,8.363636364,49,25,6,12,MATRIX,Y
568376872,PLAYMOBIL Rescue Ladder Unit,13.5,5,9.75,13.5,5,2,2.11,4.21,PICK_MODULE,33.34,8.363636364,8,4,1,2,MATRIX,Y
575454494,Crest 3D White Stain Eraser  Whitening Toothpaste Icy Clean Mint  3.5 oz  Pack of 2,6.25,1.5,3.75,6.25,1.5,12,0.55,6.61,PICK_MODULE,29.56,8.345454545,149,76,18,37,MATRIX,Y
576408294,Crystal Light Sugar Free Grape Powdered Energy Drink Mix  10 ct   0.11 oz Packets,4,1.5,2.5,4,1.5,12,0.1,1.19,PICK_MODULE,40.36,8.327272727,350,177,41,87,MATRIX,Y
556554274,Contigo 14 Ounce Gizmo Flip Nautical Tumbler,4,7,3,7,3,4,0.3,1.2,PICK_MODULE,187.3,8.327272727,63,32,7,16,MATRIX,Y
551932366,Great Value Cheese Wow! Pasteurized Process Cheddar Cheese Product  8 Oz.,2.5,7.5,2.25,7.5,2.25,6,0.65,3.91,PICK_MODULE,288.35,8.309090909,124,63,15,31,MATRIX,Y
573572908,PAW Patrol Kids Step In Blanket  30 x 54  PAW Patrol Chase,15,2,20.5,20.5,2,6,1.1,6.61,PICK_MODULE,206.58,8.309090909,9,4,1,2,MATRIX,Y
428446,Great Value Fresh Seal Double Zipper Sandwich Bags  100 Count,7,3,3,7,3,12,0.55,6.62,PICK_MODULE,29.25,8.309090909,83,42,10,21,MATRIX,Y
571679913,Spider Man Web Shots Spiderbolt NERF Powered Blaster Toy,10,3,13,13,3,3,1.2,3.61,PICK_MODULE,54.17,8.290909091,13,7,2,3,MATRIX,Y
572753018,Mr. Clean  Clean Freak Deep Cleaning Mist Multi Surface Spray  Lemon Zest Scent Refill  1 count  16 fl oz,2,7,7,7,2,6,1.2,7.22,PICK_MODULE,65.19,8.290909091,54,27,6,13,MATRIX,Y
568263790,Nerf N Strike Elite BattleCamo Series Rough Cut 2x4,10.5,3,22,22,3,3,1.6,4.81,PICK_MODULE,122.87,8.290909091,8,4,1,2,MATRIX,Y
568545925,Sprite Caffeine Free Mini Can Soda  Lemon Lime  7.5 Fl Oz  10 Count,14,4.5,11.5,14,4.5,3,5.57,16.71,PICK_MODULE,50.42,8.290909091,7,4,1,2,MATRIX,Y
567363810,2.75oz Sheila G s Salted Caramel Brownie Brittle,8,2,6,8,2,8,0.2,1.6,PICK_MODULE,19.35,8.254545455,55,28,6,14,MATRIX,Y
875696,Milk Bone Flavor Snacks Dog Biscuits for Dogs of All Sizes  7 Pound Box,11,9,8,11,8,1,7.02,7.02,PICK_MODULE,50.49,8.254545455,7,3,1,2,MATRIX,Y
573338015,Imaginext Disney Pixar Toy Story Buzz Lightyear Robot,22,6,7.5,22,6,2,2.01,4.01,PICK_MODULE,32.04,8.254545455,5,3,1,1,MATRIX,Y
575344151,Mainstays Fleece Plush Throw Blanket  50  x 60   Gray Plaid  2 Pack,11.5,5,10.5,11.5,5,6,2.11,12.64,PICK_MODULE,49.58,8.254545455,9,4,1,2,MATRIX,Y
260096953,Similac Sensitive Infant Formula with Iron  Ready to Feed  1 qt (Pack of 6),8,8.05,10,10,8,1,14.25,14.25,PICK_MODULE,26.47,8.254545455,8,4,1,2,MATRIX,Y
567171302,Philips Avent Soft Silicone Replacement Spouts for Natural Trainer Kit and My Easy Sippy  2 pack  SCF246/00,3.5,2.25,4,4,2.25,6,0.05,0.3,PICK_MODULE,119.11,8.236363636,167,84,20,42,MATRIX,Y
552982363,G Hughes Smokehouse Sugar Free Honey Flavored BBQ Sauce  18 oz,3.25,7.25,3.25,7.25,3.25,6,1.8,10.82,PICK_MODULE,21.58,8.236363636,69,35,8,17,MATRIX,Y
556269216,Equate Non Drowsy Allergy Relief Loratadine Tablets 10mg  45 Ct,3.25,1.25,1.25,3.25,1.25,192,0.05,9.35,PICK_MODULE,92.62,8.236363636,1034,524,122,258,MATRIX,Y
4065029,Vicks WarmSteam Vaporizer  V150SGN,11,7.65,12,12,7.65,2,2.66,5.32,PICK_MODULE,25.34,8.236363636,5,3,1,1,MATRIX,Y
575986380,L.O.L. Surprise! Furniture Cozy Coupe with M.C. Swag & 10+ Surprises,6.25,6,4,6.25,4,8,0.7,5.61,PICK_MODULE,142.2,8.236363636,35,18,4,9,MATRIX,Y
552878588,Kool Aid Jammers Tropical Punch Flavored Drink  30 ct   6 fl oz Pouches,11,5.55,9.55,11,5.55,1,12.94,12.94,PICK_MODULE,91.63,8.218181818,9,5,1,2,MATRIX,Y
577181143,Apple Watch Series 5 GPS  44mm Gold Aluminum Case with Pink Sand Sport Band   S/M & M/L,11.75,2.25,3,11.75,2.25,4,0.15,0.6,PICK_MODULE,114.39,8.2,66,34,8,17,MATRIX,Y
575873059,Disney Frozen 2 Elsa Fashion Doll with Long Blonde Hair & Blue Outfit,6.75,13,2.25,13,2.25,4,0.45,1.81,PICK_MODULE,45.53,8.181818182,27,13,3,7,MATRIX,Y
564546197,Etch A Sketch  Classic Red Drawing Toy with Magic Screen  for Ages 3 and Up,9,1.5,9.25,9.25,1.5,4,1.25,5.01,PICK_MODULE,35.37,8.163636364,42,21,5,10,MATRIX,Y
566999094,OxiClean White Revive Liquid Laundry Whitener + Stain Remover  66oz,3.5,11.15,6.5,11.15,3.5,4,4.87,19.46,PICK_MODULE,154.63,8.145454545,21,10,2,5,MATRIX,Y
565585698,Aveeno Positively Smooth Moisturizing Shave Gel  7 Oz 2pk,4,2,8,8,2,12,1.2,14.44,PICK_MODULE,46.11,8.145454545,82,42,10,20,MATRIX,Y
565268392,Suave Skin Solutions Body Lotion Cocoa Butter and Shea 32 oz,10,3,5,10,3,4,2.26,9.03,PICK_MODULE,60.53,8.145454545,35,18,4,9,MATRIX,Y
572628038,Blue Homestyle Recipe Chicken Dinner with Garden Vegetables Wet Dog Food,3,3.75,3,3.75,3,12,0.9,10.83,PICK_MODULE,79.05,8.127272727,156,79,18,39,MATRIX,Y
563735497,Crock Pot 2 Quart Round Manual Slow Cooker,9,7.5,9,9,7.5,2,5.17,10.34,PICK_MODULE,32.8,8.109090909,9,4,1,2,MATRIX,Y
550487847,Sinful Colors Nail Polish  Snow Me White  0.5 fl oz,1.25,3.25,1.25,3.25,1.25,3,0.15,0.45,PICK_MODULE,152.9,8.090909091,1034,524,122,258,MATRIX,Y
574950719,EV1 from Ellen DeGeneres Night Night Plaid Pajama Set Women s,16,1,12,16,1,12,0.2,2.39,PICK_MODULE,93.02,8.054545455,27,14,3,7,MATRIX,Y
568101727,NYX Professional Makeup First Base Primer Spray,5,1.5,1.5,5,1.5,72,0.15,10.83,PICK_MODULE,185.01,8.054545455,467,236,55,116,MATRIX,Y
576180417,American Greetings Ryan s World Paper Dinner Plates  8 Count,9,1,9,9,1,48,0.21,10.09,PICK_MODULE,9,8.018181818,65,33,8,16,MATRIX,Y
565036344,LeapFrog Mr. Pencil s Scribble & Write,11,11,2.25,11,2.25,4,1.3,5.22,PICK_MODULE,43.93,8.018181818,19,10,2,5,MATRIX,Y
553671490,Contigo Stainless Steel 20 Ounce Snapseal Vacuum Insulated Travel Mug Gunmetal,4,3,8,8,3,4,0.8,3.2,PICK_MODULE,93.62,8.018181818,55,28,6,14,MATRIX,Y
576180275,American Greetings Ryan s World Plastic Table Cover  54  x 96 ,7,0.25,6.25,7,0.25,48,0.25,12,PICK_MODULE,9,8.018181818,480,243,56,120,MATRIX,Y
554750730,Kellogg s Special K Chocolatey Delight Breakfast Cereal Value Size 18.5 oz,8,2.5,12.5,12.5,2.5,8,1.4,11.22,OFFLINE_PICK,69.17,8.018181818,21,11,2,5,MATRIX,Y
562940604,Poise Incontinence Pads for Women  Maximum Absorbency  Regular  96 Ct,15.25,8.25,11.75,15.25,8.25,1,5.67,5.67,OFFLINE_PICK,23.27,8.018181818,4,2,0,1,MATRIX,Y
570798487,MADE OF Organic Baby Wipes   EWG Rated 1 and NSF Organic Certified   Fragrance Free (1 Pack   80 count),8,3,4,8,3,12,1.4,16.86,PICK_MODULE,21.35,8.018181818,55,28,6,14,MATRIX,Y
575893622,,18,11,6.05,18,6.05,1,5.37,5.37,PICK_MODULE,86.29,8,4,2,1,1,MATRIX,Y
569985823,Pepperidge Farm Milano Raspberry Cookies  7 oz. Bag,6,3,3.5,6,3,24,0.5,12,PICK_MODULE,90.95,8,83,42,10,21,MATRIX,Y
555181741,Great Value Tropical Pineapple Mango Drink Enhancer  1.62 fl oz,2.5,1.25,3,3,1.25,10,0.15,1.5,PICK_MODULE,20.67,8,560,284,66,140,MATRIX,Y
4014552,Equate Maximum Strength Nighttime Sleep Aid Softgels  50 mg  96 Ct,3.5,1.75,3.5,3.5,1.75,24,0.15,3.61,PICK_MODULE,29.06,7.981818182,245,124,29,61,MATRIX,Y
575206089,Pepperidge Farm Goldfish Special Edition Disney Mickey Mouse Cheddar Crackers  12 count Tray,10.5,3.5,5.5,10.5,3.5,12,0.75,9.03,PICK_MODULE,28.35,7.981818182,26,13,3,6,MATRIX,Y
571609189,Razor Turbo Jetts Electric Heel Wheels   DLX Blue with Lighted Wheels,8.5,7.5,21,21,7.5,2,5.87,11.74,PICK_MODULE,94.39,7.981818182,4,2,0,1,MATRIX,Y
573755378,Demo Duke  Crashing and Transforming Vehicle with Over 100 Sounds and Phrases  for Kids Aged 4 and Up,7.5,10.75,15,15,7.5,1,3.41,3.41,PICK_MODULE,170.35,7.963636364,4,2,1,1,MATRIX,Y
9244582,Betty Crocker Scalloped Potatoes Value Size  7.1 oz,6,2,8,8,2,12,0.55,6.61,PICK_MODULE,90.5,7.963636364,55,28,6,14,MATRIX,Y
555234212,FISHER Chef s Naturals Chopped Walnuts  No Preservatives  Non GMO  32 oz,9.5,3,10,10,3,3,2.06,6.17,PICK_MODULE,26.61,7.945454545,18,9,2,5,MATRIX,Y
575989488,($15 Value) Disney Frozen II 29 Piece Cosmetics Beauty Bag Gift Set with Backpack,9.55,11.55,2,11.55,2,12,0.65,7.81,PICK_MODULE,95.99,7.945454545,24,12,3,6,MATRIX,Y
574975368,Great Value 100% Arabica Colombian Coffee Pods  Medium Dark Roast  96 Count,12,7.25,10,12,7.25,1,3.21,3.21,PICK_MODULE,116.71,7.945454545,6,3,1,2,MATRIX,Y
551928185,Ultrasoft Euro Pillow for Square Decorative Shams,21.5,1.5,21.5,21.5,1.5,6,2.16,12.94,OFFLINE_PICK,78.76,7.927272727,8,4,1,2,MATRIX,Y
565257085,Fisher Price Laugh & Learn Smart Stages Learn with Sis Walker,18,16,4,18,4,2,4.82,9.63,PICK_MODULE,62.9,7.927272727,5,2,1,1,MATRIX,Y
568537651,True Lemon Peach Lemonade Drink Mix  1.06 Oz.  10 Count,6.5,0.41,10,10,0.41,12,0.15,1.8,PICK_MODULE,23.36,7.927272727,197,100,23,49,MATRIX,Y
576476570,LIFE SAVERS Butter Rum Hard Candy  14.5 Ounce Sharing Size Bag,11,2,7,11,2,4,0.9,3.61,PICK_MODULE,31.99,7.909090909,34,17,4,9,MATRIX,Y
555554913,Kinetic Sand  3lbs Beach Sand for Ages 3 and Up (Packaging May Vary),3,8,8.5,8.5,3,3,3.51,10.53,PICK_MODULE,108.27,7.909090909,26,13,3,6,MATRIX,Y
555089500,KidKraft 27 Piece Pastel Cookware Playset,9.5,4,10.5,10.5,4,6,1.75,10.54,PICK_MODULE,88.29,7.890909091,13,7,2,3,MATRIX,Y
565705142,Cascade Complete Actionpacs  Dishwasher Detergent  Fresh Scent  78 count,5.25,7.25,6.5,7.25,5.25,2,3.36,6.72,PICK_MODULE,54,7.890909091,21,11,2,5,MATRIX,Y
558269927,Tazo  Zen Green Tea  Tea Bags  48 Ct,5.5,3.25,6,6,3.25,4,0.45,1.81,PICK_MODULE,147.96,7.890909091,49,25,6,12,MATRIX,Y
556219268,Scotch Sure Start Shipping Tape with Dispenser  1.88 in. x 38.2 yd.  Clear  1 Dispenser/Pack,2.25,5.75,2.25,5.75,2.25,36,0.05,1.75,PICK_MODULE,95.03,7.890909091,180,91,21,45,MATRIX,Y
565404308,Cascade Platinum ActionPacs  Dishwasher Detergent  Fresh  62 count,7.19,5.19,7.19,7.19,5.19,1,2.8,2.8,PICK_MODULE,16.73,7.890909091,20,10,2,5,MATRIX,Y
575256203,Taco Bell Verde Salsa   7.5 oz Bottle,2.25,7.5,2.25,7.5,2.25,12,0.6,7.22,PICK_MODULE,139.21,7.854545455,138,70,16,35,MATRIX,Y
573352436,Transformers BotBots Series 1 Mystery Figure Surprise 2 In 1 Toy,3.5,6,1.5,6,1.5,24,0.1,2.39,PICK_MODULE,96.96,7.836363636,167,84,20,42,MATRIX,Y
550365868,Nexcare Flexible Clear First Aid Tape  Hypoallergenic  Conforms to Body  1 Inch X 10 Yards (Pack of 2),6,1,4,6,1,24,0.5,12,PICK_MODULE,172.11,7.818181818,219,111,26,55,MATRIX,Y
557620053,Poise Incontinence Pads for Women  Maximum Absorbency  Long  84 Ct,13,11.75,9.75,13,9.75,1,6.42,6.42,OFFLINE_PICK,67.44,7.818181818,4,2,0,1,MATRIX,Y
575181798,Awesome Blossems  Magical Growing Flower Themed Scented Collectible Doll (Style May Vary),3,5,3,5,3,16,0.5,8,PICK_MODULE,28.89,7.818181818,117,59,14,29,MATRIX,Y
550903870,Eight O Clock The Original Ground Coffee 36 oz. Bag,5.5,10.75,1,10.75,1,4,2.36,9.42,PICK_MODULE,68.21,7.818181818,89,45,10,22,MATRIX,Y
565723453,Halls Defense  Assorted Citrus Vitamin C Drops  80 pcs,5.25,9,1,9,1,12,0.6,7.22,PICK_MODULE,27.95,7.818181818,111,56,13,28,MATRIX,Y
556239781,Paw Patrol 40  x 50  Kids Silky Soft Throw feat. Chase  Marshall & Rubble,11.5,3.5,9.25,11.5,3.5,3,0.9,2.71,PICK_MODULE,76.24,7.8,14,7,2,4,MATRIX,Y
571815714,Oral B Healthy Clean Toothbrush  Soft  4 Count,3.25,1.25,9,9,1.25,24,0.15,3.61,PICK_MODULE,38.56,7.8,144,73,17,36,MATRIX,Y
575257740,Kraft Chipotle Aioli  12 fl oz Bottle,3.25,6.75,2,6.75,2,8,0.8,6.41,PICK_MODULE,145.29,7.8,120,61,14,30,MATRIX,Y
566449768,Disney Minnie Mouse Kid s Bedding Twin Sheet Set  1 Each,5.75,9,4.25,9,4.25,2,1.81,3.61,PICK_MODULE,92.09,7.8,24,12,3,6,MATRIX,Y
575416494,My Choice Emergency Contraceptive Tablet,3,4.75,1,4.75,1,12,0.05,0.58,PICK_MODULE,61.05,7.781818182,368,187,43,92,MATRIX,Y
573608335,Chapter 3 Shelf Tension Pole Caddy  Satin Nickel,25,5,9.75,25,5,2,6.47,12.94,PICK_MODULE,34.37,7.763636364,4,2,1,1,MATRIX,Y
572503881,VTech Call & Chat Learning Phone,9,2,6,9,2,6,0.51,3.07,PICK_MODULE,42.27,7.763636364,49,25,6,12,MATRIX,Y
564285960,Dyson 231942 01 V6 Trigger Origin Handheld Vacuum,16.25,6.25,9,16.25,6.25,1,5.02,5.02,PICK_MODULE,90.38,7.745454545,6,3,1,1,MATRIX,Y
553164530,Dove Men+Care Hair Styling Control Gel 7 oz,3,2,7,7,2,12,0.5,6.02,PICK_MODULE,81.95,7.727272727,125,63,15,31,MATRIX,Y
571724494,Harry Potter Harry Potter Film Inspired Collector Doll,12.46,2.5,8.2,12.46,2.5,4,0.5,2.01,PICK_MODULE,76.2,7.709090909,21,10,2,5,MATRIX,Y
575285910,Ryan s World Ultimate Red Titan,14,15,5.3,15,5.3,2,1.3,2.61,PICK_MODULE,143.54,7.709090909,5,2,1,1,MATRIX,Y
563189578,Robo Alive Lurking Lizard Battery Powered Robotic Toy by ZURU,5,4,15.75,15.75,4,2,0.7,1.4,PICK_MODULE,216.57,7.709090909,17,8,2,4,MATRIX,Y
567942975,Cottonelle GentlePlus Flushable Wipes with Aloe & Vitamin E  168 Wipes per Pack,11.5,0.9,12.5,12.5,0.9,8,2.16,17.26,PICK_MODULE,119.29,7.709090909,41,21,5,10,MATRIX,Y
565385635,Butternut Mountain Farm 100% Pure Vermont Maple Syrup  32.0 FL OZ,4,4,7.25,7.25,4,4,3.06,12.24,PICK_MODULE,35.85,7.690909091,45,23,5,11,MATRIX,Y
575564222,Downy Infusions Fabric Softener Dryer Sheets  Lavender Serenity  200 count,7.25,3.75,4.25,7.25,3.75,6,1,6.01,PICK_MODULE,45.54,7.690909091,45,23,5,11,MATRIX,Y
553772575,Heath Bits O  Brickle  English Toffee Baking Bits  8 Oz,7.5,1.5,4.25,7.5,1.5,12,0.5,6,PICK_MODULE,121.88,7.690909091,110,56,13,27,MATRIX,Y
574584409,Kellogg s Frosted Mini Wheats Breakfast Cereal Twin Pack 48oz,15,13,2.5,15,2.5,4,3.56,14.25,PICK_MODULE,48.31,7.672727273,11,5,1,3,MATRIX,Y
554750723,Kellogg s Special K Fruit & Yogurt Breakfast Cereal Value Size 19.1 oz,8,2.5,12.2,12.2,2.5,8,1.4,11.22,OFFLINE_PICK,22.34,7.654545455,22,11,3,5,MATRIX,Y
568937346,NYX Professional Makeup Makeup Setting Spray  Matte,1.5,5,1.5,5,1.5,72,0.15,10.84,PICK_MODULE,222.6,7.654545455,467,236,55,116,MATRIX,Y
554232361,Pure Fitness Multi Purpose Doorway Pull Up Bar,10.75,2.25,20.75,20.75,2.25,1,4.37,4.37,PICK_MODULE,51.27,7.654545455,10,5,1,3,MATRIX,Y
576419780,Kellogg s Frosted Mini Wheats Pumpkin Spice Breakfast Cereal Limited Edition 22 oz,7.5,12.75,2.5,12.75,2.5,6,1.5,9.03,PICK_MODULE,165.42,7.654545455,22,11,3,5,MATRIX,Y
565878510,Reynolds Kitchens Slow Cooker Liners  Small  5 Count,3,1.5,8.25,8.25,1.5,12,0.15,1.81,PICK_MODULE,18.61,7.654545455,141,72,17,35,MATRIX,Y
571125447,The Pioneer Woman 18 Ounce Double Wall Vacuum Insulated Stainless Steel Tumblers  Set of 3  Navy  Teal  and Silver,12.25,8.25,4.5,12.25,4.5,6,2.15,12.93,OFFLINE_PICK,177.5,7.636363636,12,6,1,3,MATRIX,Y
413764,Great Value Fresh Seal Double Zipper Storage Bags  Quart  25 Count,8,2.25,2.25,8,2.25,12,0.3,3.61,PICK_MODULE,9,7.636363636,130,66,15,32,MATRIX,Y
567034063,Great Value Strong Flex Tall Kitchen Drawstring Trash Bags  Citrus Burst  13 Gallon  45 Count,4.75,4.5,9.75,9.75,4.5,6,2.26,13.55,PICK_MODULE,38.07,7.636363636,25,13,3,6,MATRIX,Y
553819855,Corelle Classic Winter Frost White 10.25  Dinner Plate  Set of 6,11,1.75,10.75,11,1.75,1,5.07,5.07,PICK_MODULE,76.86,7.618181818,25,13,3,6,MATRIX,Y
555547259,Nabisco Oreo Chocolate Sandwich Cookies  2.4 Oz.  12 Count,12,2.3,6.5,12,2.3,4,2.1,8.42,OFFLINE_PICK,54.89,7.618181818,29,15,3,7,MATRIX,Y
573658608,(Pack of 4) Bradford Bath Pouf with Specialty Soap Beads,16.75,0.83,12.75,16.75,0.83,20,0.55,11.04,PICK_MODULE,37.61,7.6,30,15,3,7,MATRIX,Y
564725288,St. Ives Radiant Skin Face Scrub Pink Lemon and Mandarin Orange 6 oz,6,6,6,6,6,6,0.1,0.6,PICK_MODULE,89.58,7.6,24,12,3,6,MATRIX,Y
568545976,Coca Cola Zero Sugar Mini Can Diet Soda  7.5 Fl Oz  10 Count,11.5,4.25,4.5,11.5,4.25,3,5.32,15.96,PICK_MODULE,42.13,7.581818182,24,12,3,6,MATRIX,Y
564606124,Suave Essentials Body Wash Creamy Cocoa Butter and Shea 28 oz,4.2,2.5,10,10,2.5,4,2.01,8.03,PICK_MODULE,15.63,7.581818182,50,25,6,12,MATRIX,Y
572522216,Mega Construx Pokemon Ultimate Eevee Evolution Pack,12.75,10.5,2,12.75,2,6,1.05,6.32,PICK_MODULE,104.76,7.581818182,20,10,2,5,MATRIX,Y
556318572,L Oreal Paris Voluminous Mascara Exclusive  Blackest Black  2 count,3.5,7.25,1,7.25,1,2,0.1,0.2,PICK_MODULE,46.52,7.581818182,207,105,24,52,MATRIX,Y
564335022,Just Hemp Foods Hemp Protein & Fiber Powder  Unflavored  11g Protein  1.0lb  16.0oz,3.5,3.5,7,7,3.5,6,1.25,7.51,PICK_MODULE,200.5,7.563636364,61,31,7,15,MATRIX,Y
553135363,Ronzoni No. 76 Penne Rigate Pasta  16 Ounce Box,5.75,7.75,3,7.75,3,12,1.1,13.22,PICK_MODULE,33.75,7.563636364,39,20,5,10,MATRIX,Y
575759545,Jell O Sugar Free Vanilla Instant Pudding Mix  1 oz Box,3.5,1.5,3,3.5,1.5,24,0.5,12,PICK_MODULE,11.83,7.563636364,333,169,39,83,MATRIX,Y
575898425,Kerr Glass Mason Jar W/Lid & Band  Regular Mouth  8 Ounces  12 Count,12,4,9,12,4,1,5.62,5.62,PICK_MODULE,218.87,7.563636364,12,6,1,3,MATRIX,Y
576046886,(12 Pack) PEDIGREE Chopped Ground Dinner With Beef & With Chicken Adult Canned Wet Dog Food Variety Pack  13.2 oz. Cans,12,4,9,12,4,1,5.27,5.27,PICK_MODULE,16.92,7.563636364,12,6,1,3,MATRIX,Y
571352607,Tropicana Orange Juice  10 Ounce Bottles (Pack of 24),14,7.25,9.25,14,7.25,1,18.04,18.04,OFFLINE_PICK,68.53,7.545454545,6,3,1,1,MATRIX,Y
575257768,Maxwell House Intense Bold Dark Roast Ground Coffee  Caffeinated  26.7 oz Can,6,5.5,6,6,5.5,6,2,12.03,PICK_MODULE,110.21,7.545454545,27,13,3,7,MATRIX,Y
564664270,Better Homes & Gardens A Wonderful Winter Candle  18 oz,4.15,7,3,7,3,4,2.31,9.23,PICK_MODULE,39.08,7.545454545,60,31,7,15,MATRIX,Y
575022804,Orgain Organic Protein Unsweetened Vanilla Almond Milk  32 fl oz,8.5,2.5,3.75,8.5,2.5,6,2.2,13.23,PICK_MODULE,46.43,7.545454545,66,33,8,16,MATRIX,Y
572931393,Lysol Disinfectant Spray  Mango & Hibiscus  Brand New Day  19oz,2.75,10,2.75,10,2.75,6,1.55,9.32,PICK_MODULE,64,7.527272727,69,35,8,17,MATRIX,Y
550341064,Great Value Low Sodium Chunk Chicken Breast  12.5 oz,4,2.25,4,4,2.25,12,0.95,11.42,PICK_MODULE,40.72,7.509090909,146,74,17,36,MATRIX,Y
574960314,,18.75,0.67,12,18.75,0.67,12,0.85,10.23,PICK_MODULE,18.42,7.490909091,35,18,4,9,MATRIX,Y
564454259,Great Value Gluten Free Pancake & Waffle Mix  16 oz,7,1.5,7,7,1.5,6,1.05,6.32,PICK_MODULE,173.09,7.490909091,71,36,8,18,MATRIX,Y
555573657,Bright Starts Press & Glow Spinner,7.75,8.5,7.25,8.5,7.25,2,1.25,2.5,PICK_MODULE,57.83,7.472727273,11,6,1,3,MATRIX,Y
575489750,,14,11,5.5,14,5.5,2,2.61,5.22,PICK_MODULE,136.4,7.454545455,6,3,1,2,MATRIX,Y
572095392,Polly Pocket Tiny Pocket World Polly Art Studio Compact Playset,6.5,1,5.5,6.5,1,4,0.15,0.6,PICK_MODULE,29.03,7.436363636,147,74,17,37,MATRIX,Y
575930663,Matching Family Pajamas Dr. Seuess The Grinch 2 Piece Sleep Set (Kid s),10,1,9.5,10,1,12,0.6,7.22,PICK_MODULE,90.61,7.436363636,55,28,6,14,MATRIX,Y
576257199,Wonder Nation Metallic Quilted Bubble Jacket (Little Girls  Big Girls & Plus),24,1,17,24,1,12,1.15,13.83,PICK_MODULE,52.52,7.436363636,13,7,2,3,MATRIX,Y
566046332,Parent s Choice Flushable Wipes  6 packs of 48 (288 count),7.5,5.5,9.5,9.5,5.5,1,4.21,4.21,PICK_MODULE,115.16,7.436363636,13,7,2,3,MATRIX,Y
555198548,Mickey Mouse Clubhouse Cash Register,7,6.25,11.5,11.5,6.25,2,1.6,3.21,PICK_MODULE,134.09,7.418181818,10,5,1,3,MATRIX,Y
550797446,Ball Quilted Crystal Jelly Jar W/Lid & Band  4 Ounces  12 Count,10.25,3,13.25,13.25,3,1,0.9,0.9,PICK_MODULE,159.79,7.418181818,13,7,2,3,MATRIX,Y
564079193,Crayola Washable Kids  Paint Set 6 Color Glitter Set,3.5,2.5,5.5,5.5,2.5,6,0.95,5.71,PICK_MODULE,42.73,7.4,109,55,13,27,MATRIX,Y
573153556,Farberware 22 Piece Never Needs Sharpening Knife And Kitchen Tool Set,10,14,5,14,5,1,4.82,4.82,PICK_MODULE,50.09,7.4,8,4,1,2,MATRIX,Y
568090322,NYX Professional Makeup Soft Matte Lip Cream  Cannes,4,1,1,4,1,72,0.1,0.3,PICK_MODULE,147.45,7.4,1313,665,154,328,MATRIX,Y
575567764,Radical Racers Wall Climbing Car  Remote Controlled with 360 Degrees Turn Functionality for Multi Directional Play As Seen On TV (Red),7.5,10.75,3,10.75,3,4,0.8,3.2,PICK_MODULE,84.39,7.381818182,22,11,3,5,MATRIX,Y
9248086,Bear Creek Country Kitchens  Darn Good  Chili Mix  9.8 OZ,2,9,5,9,2,6,0.65,3.91,PICK_MODULE,17.26,7.363636364,58,30,7,15,MATRIX,Y
568524987,LEGO Ninjago Stormbringer70652,10.25,2.25,15,15,2.25,4,1.45,5.82,PICK_MODULE,50.63,7.363636364,15,8,2,4,MATRIX,Y
572062425,Tomlyn Laxatone Hairball Remedy Supplement for Cats  Catnip Flavor  4.25 oz.,1.5,6.75,1.5,6.75,1.5,12,0.3,3.61,PICK_MODULE,133.83,7.363636364,346,175,41,86,MATRIX,Y
551581668,Pine Mountain 3 Hour Fire Log  Easy Starter Logs  10.5  x 3   6 Pack,11.25,7.2,11,11.25,7.2,1,22.88,22.88,OFFLINE_PICK,20.02,7.363636364,6,3,1,1,MATRIX,Y
552039898,Fun Pack Foods Traditional Flavor Funnel Cake Mix  9.6 oz,3.65,6.45,2.54,6.45,2.54,6,0.65,3.9,PICK_MODULE,47.2,7.345454545,88,44,10,22,MATRIX,Y
575899546,Smucker s Sugar Free Orange Marmalade  12.75 oz,3,5,3,5,3,8,1.25,10.02,PICK_MODULE,21.6,7.345454545,117,59,14,29,MATRIX,Y
